KUSAMA
Date,Open,High,Low,Close,Adj Close,Volume
2022-04-17,174.251785,178.760193,169.259293,169.259293,169.259293,70212208
2022-04-18,169.277695,169.277695,155.409805,167.225266,167.225266,83010679
2022-04-19,167.237625,178.404739,163.568390,176.524796,176.524796,88377947
2022-04-20,176.541733,185.764954,173.775955,180.374268,180.374268,137694340
2022-04-21,180.372498,184.388687,165.394302,168.725845,168.725845,110492165
2022-04-22,168.628128,173.244781,162.784317,164.721817,164.721817,95834629
2022-04-23,164.713623,167.119125,159.423340,162.478455,162.478455,81333882
2022-04-24,162.421021,163.451614,157.577850,159.470154,159.470154,67654421
2022-04-25,159.503189,164.203339,149.407257,164.203339,164.203339,101089512
2022-04-26,164.190765,166.307755,153.195450,154.909393,154.909393,106278112
2022-04-27,154.884232,163.135330,154.738205,158.034729,158.034729,99131974
2022-04-28,158.049637,161.229752,154.945435,157.797058,157.797058,84074356
2022-04-29,157.812393,158.958084,145.234497,145.310120,145.310120,91347292
2022-04-30,145.279892,149.018143,126.591583,131.677689,131.677689,87507195
2022-05-01,131.693130,136.892609,129.403000,132.952713,132.952713,95201989
2022-05-02,132.869522,135.493729,126.429916,130.875977,130.875977,77643661
2022-05-03,130.862091,134.238098,126.353676,127.557259,127.557259,72619802
2022-05-04,127.559219,142.775940,127.365585,140.321381,140.321381,96433678
2022-05-05,140.306900,144.327499,126.007019,127.565254,127.565254,105365223
2022-05-06,127.554237,129.548294,121.396988,126.423851,126.423851,107434177
2022-05-07,126.412827,127.015755,115.614624,117.947823,117.947823,82166829
2022-05-08,117.965591,118.427773,111.531143,111.840012,111.840012,81164162
2022-05-09,111.864182,115.113976,95.293709,95.293709,95.293709,137659395
2022-05-10,95.144859,104.266953,89.539177,93.225967,93.225967,160006020
2022-05-11,93.125473,95.406441,71.551682,72.964043,72.964043,191643025
2022-05-12,72.970383,76.205200,62.661526,69.189156,69.189156,129888626
2022-05-13,69.147064,83.146507,67.525955,73.919319,73.919319,74197461
2022-05-14,73.920212,77.683731,66.474907,74.467621,74.467621,74070047
2022-05-15,74.478722,80.076340,69.016930,79.831078,79.831078,112830523
2022-05-16,79.812225,84.688416,68.957520,73.463997,73.463997,130654451
2022-05-17,73.512222,86.665665,73.208275,82.140724,82.140724,117451443
2022-05-18,82.109695,83.610695,72.313103,76.051758,76.051758,93714233
2022-05-19,76.093575,81.809486,71.174690,80.556412,80.556412,93661612
2022-05-20,80.543060,81.411110,73.553223,75.377182,75.377182,62960732
2022-05-21,75.370949,80.295746,73.672607,80.035362,80.035362,65884173
2022-05-22,80.057785,82.091881,78.454552,80.453506,80.453506,60410767
2022-05-23,80.411217,88.909073,78.565002,82.560349,82.560349,98672414
2022-05-24,82.561760,85.935890,75.804222,81.757088,81.757088,86972565
2022-05-25,81.767212,86.384598,78.920006,79.235252,79.235252,86088743
2022-05-26,79.262390,80.987434,69.498810,69.756821,69.756821,98965889
2022-05-27,69.713272,71.237999,64.989746,66.452805,66.452805,104043291
2022-05-28,67.290894,68.992355,65.353218,67.514496,67.514496,59953478
2022-05-29,67.524635,72.591377,65.494370,71.808273,71.808273,70585854
2022-05-30,71.810791,77.888580,71.158981,77.888580,77.888580,95129261
2022-05-31,77.893639,82.504639,73.827263,79.733139,79.733139,126230003
2022-06-01,79.729294,86.365845,71.231720,72.980072,72.980072,194767398
2022-06-02,72.965752,74.055168,70.698990,73.505333,73.505333,105248166
2022-06-03,73.497673,73.497673,67.683563,68.336594,68.336594,70291796
2022-06-04,68.296402,70.038597,66.817596,68.652031,68.652031,50392580
2022-06-05,68.656158,69.198395,67.224991,67.782066,67.782066,45565050
2022-06-06,67.798393,73.116325,67.715759,70.250343,70.250343,68400935
2022-06-07,70.250114,70.256218,65.731651,67.374344,67.374344,63036368
2022-06-08,67.374832,69.094093,65.254623,66.452446,66.452446,61579011
2022-06-09,66.446404,68.248978,65.616959,66.448563,66.448563,51052135
2022-06-10,66.437004,67.550819,58.622807,58.630562,58.630562,68132676
2022-06-11,58.617603,60.475201,55.747032,56.958893,56.958893,69700423
2022-06-12,56.973133,57.393978,50.942940,50.985142,50.985142,73119622
2022-06-13,50.949493,51.651428,43.144375,46.197384,46.197384,109102834
2022-06-14,46.187477,52.021416,43.294788,51.199100,51.199100,76761469
2022-06-15,51.195881,57.823292,47.429893,57.822453,57.822453,124104935
2022-06-16,57.878284,58.547604,48.342628,49.139595,49.139595,72666235
2022-06-17,49.156086,50.775894,48.595161,49.042610,49.042610,35527993
2022-06-18,49.042995,49.695580,44.346172,48.505432,48.505432,47311526
2022-06-19,48.507427,51.866264,46.194027,50.809292,50.809292,37834685
2022-06-20,50.817272,53.956139,48.910763,53.387451,53.387451,40259469
2022-06-21,53.377441,57.366581,52.333340,53.471340,53.471340,37267708
2022-06-22,53.505432,54.784847,51.302822,51.943054,51.943054,33133526
2022-06-23,51.939922,54.426979,51.895691,54.181038,54.181038,29791401
2022-06-24,54.175220,58.088718,54.105221,57.360096,57.360096,36623414
2022-06-25,57.352039,58.224277,54.250763,57.318417,57.318417,30620026
2022-06-26,57.316795,58.517849,52.284473,52.444557,52.444557,31095157
2022-06-27,52.429005,55.738319,52.429005,52.977448,52.977448,31686947
2022-06-28,52.962337,54.827831,49.806999,50.215511,50.215511,32027748
2022-06-29,50.208424,50.891926,48.178608,48.788860,48.788860,29105445
2022-06-30,48.807014,49.119556,45.074100,48.208958,48.208958,32251870
2022-07-01,48.252228,49.674946,46.395550,48.135063,48.135063,34365285
2022-07-02,48.181950,49.421219,47.483292,48.904701,48.904701,26701282
2022-07-03,48.901176,49.762028,47.737263,49.458614,49.458614,22539336
2022-07-04,49.468994,51.675598,48.440170,51.587536,51.587536,24819828
2022-07-05,51.566277,51.998795,48.999527,50.393124,50.393124,27464424
2022-07-06,50.397678,51.991081,49.625954,51.286671,51.286671,27402864
2022-07-07,51.290691,53.058163,51.069233,52.573071,52.573071,24412086
2022-07-08,52.574394,53.813728,50.992298,51.679092,51.679092,32456794
2022-07-09,51.679790,53.747967,51.679790,53.128372,53.128372,25333817
2022-07-10,53.126862,53.130348,49.842426,49.967854,49.967854,21907185
2022-07-11,49.959991,49.968800,46.610485,46.624977,46.624977,24162987
2022-07-12,46.621094,48.551079,46.255768,46.896587,46.896587,25458468
